No,Istilah,Definisi
1,ABT,anggaran tambahan yang diajukan akibat adanya kebutuhan dana tambahan disebabkan beban biaya yang melebihi anggaran ataupun tambahan kegiatan yang belum dianggarkan yang diajukan oleh satker yang bersangkutan.
2,Access,jalan masuk.
3,Account,catatan keuangan; bank ~ simpanan deposito atau rekening kredit di bank / bank rekening; rekening.
4,ACFE,"Association of Certified Fraud Examiner (ACFE), asosiasi penyedia jasa pendidikan dan pelatihan anti-fraud, yang mempunyai misi untuk mengurangi kejahatan kerah putih dan fraud, serta membantu anggotanya untuk mencegah dan mendeteksi fraud."
5,adhesian contract/kontrak baku,"bentuk perjanjian-perjanjian standar yang umumnya terjadi dalam perdagangan, dalam hal mana biasanya salah satu pihak yang posisinya lebih tinggi menyodorkan naskah perjanjian yang sudah tersusun terlebih dahulu kepada pihak lain untuk disetujui."
6,adhoc,khusus untuk maksud tertentu.
7,advokat/pengacara/attorney,"ahli hukum atau orang yang diberi kuasa berdasarkan hukum oleh orang lain untuk melakukan transaksi bisnis; selain itu, dapat juga mewakili orang lain dalam berperkara di pengadilan.; orang yang berprofesi memberi jasa hukum, baik di dalam maupun di luar pengadilan yang memenuhi persyaratan berdasarkan ketentuan undang-undang ini [vide: UU No. 18/2003]."
8,affidavit/keterangan di bawah sumpah,keterangan tertulis mengenai fakta yuridis yang dibuat di bawah sumpah.
9,affiliated company/perusahaan afiliasi,"suatu perusahaan yang secara efektif dikendalikan oleh perusahaan lain, atau tergabung dengan perusahaan atau beberapa perusahaan lain karena kepentingan atau kepemilikan atau kepengurusan yang sama."
10,Afiliasi,pertalian sebagai anggota atau cabang; perhubungan.
11,agen eskro/escrow agent,"pihak yang ikut bertanggung jawab, baik terhadap pihak penjual dan pembeli maupun terhadap kreditur dan debitur bahwa perjanjian yang dibuat setiap pihak akan terlaksana."
12,agen fiskal/fiscal agent,"agen mengenai soal keuangan pada umumnya, khususnya yang ditunjuk pemerintah sebagai pemungut pajak, penerimaan atau penyimpanan dana, dan pelaksanaan pembayaran pengeluaran pemerintah; bank dapat ditunjuk sebagai agen wajib pungut atas pajak bunga deposito nasabah dan wajib menyetorkan kepada pemerintah; agen fiskal sering pula disebut dengan wajib pungut."
13,agen korporatif/corporate agent,"bank yang memberikan jasa sebagai agen kepada perusahaan dan/atau lembaga pemerintah; jasa itu dapat berupa kliring, pembayaran dividen atau bunga, penebusan dan pendaftaran saham, serta penagihan pajak; bank akan membebankan biaya atas jasa yang diberikan."
14,agen pembayar/paying agent,"agen, biasanya sebuah bank komersial, yang diberi wewenang oleh penerbit surat berharga untuk membayarkan kewajiban pokok dan bunga kepada pemegang surat berharga; agen tersebut bertindak sebagai pembayar dan menarik biaya untuk jasa pelayanan."
15,agen penjamin/del credere agent,agen yang menjamin pembayaran barang yang dijual olehnya dengan menerima komisi tambahan.
16,agen/agent,seseorang atau badan yang diberi kuasa atau yang ditunjuk untuk mewakili atau bertindak atas nama seseorang atau badan lain dan mempunyai hubungan tetap dengan yang diwakilinya; bank juga dapat bertindak sebagai agen dalam beberapa kegiatan seperti menjadi kustodian dan/atau wali amanat.
17,Agunan,bentuk apapun juga dari hak kebendaan yang menjamin kredit/utang yang sejalan dengan pinjaman yang diterima oleh debitur.
18,akad,perjanjian atau kontrak.
19,akibat,"1. ukuran atau besaran dari konsekuensi yang telah atau akan terjadi karena terdapat kondisi yang berbeda dari kriteria yang ditetapkan; 2. ukuran mengenai seberapa luas dampak yang telah dicapai sebuah program terhadap perubahan fisik, sosial, dan atau ekonomi."
20,akseptasi/acceptance,"janji untuk membayar oleh pihak tertarik dengan cara membubuhkan tanda tangan dalam surat wesel; akseptasi harus dinyatakan dengan kata “akseptasi” atau dengan cara lain yang sama maksudnya; tanda tangan saja dan pihak tertarik dibubuhkan pada halaman muka, surat wesel sudah berlaku sebagai akseptasi; apabila telah diakseptasi, wesel ini menjadi sama dengan promes, yang berarti dapat diperdagangkan atau dapat dijual kepada pihak lain sebelum tanggal jatuh tempo."
21,akseptor/acceptor,pihak tertarik yang mengakseptasi surat wesel.
22,aksio pauliana/actio pauliana,"gugatan yang diajukan kreditur untuk membatalkan perbuatan curang dari debitur yang merugikannya; lembaga aksio pauliana diciptakan untuk melindungi kreditur dari tindakan curang debiturnya, yaitu orang, persekutuan/badan hukum yang dinyatakan pailit."
23,aksioma,pernyataan yang dapat diterima sebagai kebenaran tanpa pembuktian.
24,akta autentik/authentieke daad,akta yang sengaja dibuat untuk membuktikan sesuatu oleh atau di hadapan pejabat yang mempunyai kewenangan yang khusus ditentukan dalam peraturan perundang-undangan.
25,akta di bawah tangan/private deed,akta yang sengaja dibuat untuk membuktikan sesuatu oleh pihak-pihak yang berkepentingan.
26,akta/deed,"1. keterangan tertulis yang ditandatangani oleh pihak yang berkepentingan untuk membuktikan kebenaran atau keinginan sebagaimana tertulis dalam dokumen tersebut; 2. surat yang sengaja dibuat dan ditandatangani dan digunakan sebagai alat bukti tertulis. akta dibedakan dua macam: (i) akta otentik – akta yang dibuat oleh pejabat yang berwenang untuk itu, atau dibuat oleh para pihak di hadapan pejabat yang berwenang dan (ii) akta di bawah tangan – akta yang dibuat dengan tidak melibatkan pejabat yang berwenang."
27,aktiva jaminan/pledge assets,"aktiva dalam bentuk properti, surat berharga, atau harta lain yang telah terikat sebagai jaminan untuk mendukung penerbitan obligasi, surat utang, atau pinjaman."
28,aktivitas pengendalian,"kebijakan dan prosedur yang membantu menjamin bahwa arahan manajemen dilaksanakan, aktivitas pengendalian dapat meliputi reviu kinerja, pengolahan informasi, pengendalian fisik, serta pemisahan tugas."
29,akuisisi/acquisition,pengambilalihan sebagian besar (lebih dari 50%) atau seluruh kepemilikan suatu bank.
30,akuntabel,"1. harus mencapai sasaran baik fisik, keuangan maupun manfaat bagi kelancaran pelaksanaan tugas umum pemerintahan dan pelayanan masyarakat sesuai dengan prinsip-prinsip serta ketentuan yang berlaku dalam pengadaan barang/jasa; 2. bertanggung jawab; dapat dipahami."
31,akuntabilitas,"1. kejelasan fungsi, pelaksanaan dan pertanggungjawaban organ sehingga pengelolaan perusahaan terlaksana secara efektif; 2. mempertanggungjawabkan pengelolaan sumber daya serta pelaksanaan kebijakan yang dipercayakan kepada entitas pelaporan dalam mencapai tujuan yang telah ditetapkan secara periodik; 3. pertanggungan jawab; 4. asas yang menentukan bahwa setiap kegiatan dan hasil akhir dari kegiatan penyelenggara negara harus dapat dipertanggungjawabkan kepada masyarakat atau rakyat sebagai pemegang kedaulatan tertinggi negara sesuai dengan ketentuan peraturan perundang-undangan yang berlaku."
32,akuntan publik,akuntan yang telah memperoleh izin dari Menteri Keuangan untuk memberikan jasa pemeriksaan dan terdaftar pada organisasi profesi.
33,akurat,ketepatan bukti yang digunakan dalam pemeriksaan.
34,alat bukti,apa saja yang menurut undang-undang dapat dipakai untuk membuktikan benar atau tidaknya sesuatu (tuduhan).
35,alat bukti yang sah,"keterangan saksi, keterangan ahli, surat, petunjuk, keterangan terdakwa [vide: UUNo. 8/1981]."
36,amandemen/addendum/adendum/tambahan/amendment,"perubahan, yaitu perubahan yang merupakan bagian yang tidak terpisahkan dari perjanjian pokok/peraturan perundang-undangan/konstitusi."
